,store_nbr,AUTOMOTIVE,BABY CARE,BEAUTY,BEVERAGES,BOOKS,BREAD/BAKERY,CELEBRATION,CLEANING,DAIRY,DELI,EGGS,FROZEN FOODS,GROCERY I,GROCERY II,HARDWARE,HOME AND KITCHEN I,HOME AND KITCHEN II,HOME APPLIANCES,HOME CARE,LADIESWEAR,LAWN AND GARDEN,LINGERIE,"LIQUOR,WINE,BEER",MAGAZINES,MEATS,PERSONAL CARE,PET SUPPLIES,PLAYERS AND ELECTRONICS,POULTRY,PREPARED FOODS,PRODUCE,SCHOOL AND OFFICE SUPPLIES,SEAFOOD
2017-08-16,1,0.0,0.0,3.3170359060601355,5655.536779931157,0.0,307.0844966494646,8.574954874929906,1440.209028563415,295.3013243125214,356.0694164675151,87.29487921815091,52.52465690638756,3392.167286673364,4.3782556141781495,0.0,27.55413200618235,13.525473063355086,0.46746818798901674,211.09713116056736,0.0,0.0,1.7975902267571797,43.80740160355602,1.7131178512905345,70.2656861307327,214.8469296527673,0.0,3.0541343333344564,53.90647542568783,121.56074365034635,595.7933642931507,19.243002281183106,6.013791242359583
2017-08-17,1,3.6057067066362825,0.0,2.1179396334883838,3874.60795769157,0.0,191.05203586394967,3.015262893507311,956.7414257725809,201.14982250855036,218.9980731412471,65.4307599705798,21.137726927967375,3771.4501504090704,1.8622645078499156,0.0,36.192740943828795,16.108361560732078,0.05467838980383112,144.94040960694048,0.0,0.0,4.158865335884398,18.47992084603321,0.0,74.53439189376213,78.02324796049096,0.0,1.264088992448418,75.09263573122118,114.16715187649494,551.7468502527595,0.0,4.45076111200987
2017-08-18,1,0.0,0.0,2.2687055076823786,5187.50483360919,0.0,219.82957498229152,5.224373254653605,1763.7840119446423,207.80308239553221,342.407020996404,70.92719374799773,30.868751493798083,4362.471430743015,6.93060490398731,0.0,36.70951772537701,15.290012645321506,0.09974280799230545,187.24481800532598,0.0,0.0,3.244501615036392,37.49356859581986,0.7061265064333271,69.89472650528428,102.08344080543189,0.0,3.2623979717996194,83.56884413141256,114.60789207869183,632.6419197229709,0.0,3.3918347543703256
2017-08-19,1,7.222779939444136,0.0,2.3285263272119145,5063.254083472323,0.0,245.54142485060825,3.667260479429941,1425.9146545475614,267.33885043936857,293.4779475112586,93.71297907210706,63.19528217968791,5475.047369849204,7.465352217380351,0.0,46.38582892424496,23.09989780607485,0.0,262.9364590140994,0.0,0.0,5.684056038162611,36.973106718331096,0.7972924932283503,74.73233179229273,165.92402972968713,0.08204057076581614,3.8336672559789715,95.72880441230001,126.73090197668466,813.8311711658475,0.0,4.809024256994862
2017-08-20,1,11.52618947108828,0.0,3.10134838889232,6976.6726832367,0.0,374.55421072664194,0.3950632269876322,1794.3822491191208,343.04245496435715,330.589030584957,104.36053946667525,24.937135466980752,6350.672336118116,2.7964462649731887,0.0,48.739573052391705,26.821436730744566,0.0,344.2275412845129,0.0,0.0,7.652756871071293,16.35393510284907,0.0,69.44433025929618,238.61348390443626,0.1152223642572399,4.024638169558462,110.95287270139067,160.90240154869917,903.378111473073,0.0,4.6788868286179435
2017-08-21,1,6.680517723812172,0.0,2.7882636752871974,5342.929994439075,0.0,274.57631694643385,1.7209487834755621,1556.7524515701373,262.83487041665774,290.75634021492897,88.0767270795478,18.01249973636816,5124.337546497351,2.2359168912319287,0.0,31.914329151680718,21.031664569172374,0.1110567251250671,235.94562352474128,0.0,0.0,5.754421911246777,14.342382457788954,0.44863902055436344,76.66004330564586,173.24739597785913,0.0,2.2243999887202532,78.55480763673555,129.90818783433232,659.7162680336392,0.0,4.890345934627167
2017-08-22,1,7.359168068547015,0.0,2.0985030436448797,3939.694218446646,0.0,231.2850214954822,0.0,962.4789711983499,230.82044558460842,227.8318734599436,67.5228321360583,16.302286112730144,4950.499468404326,2.791021090961796,0.0,28.42661051442912,20.438048665263842,0.0,191.14774662677758,0.0,0.0,5.60115048533547,13.77838513407687,0.0,63.09770770559496,140.3778476336064,0.005664671766358639,1.7936007996355394,89.04429842449272,130.4062533042371,978.7386554681152,0.0,4.694443188700184
2017-08-23,1,0.035858558398259355,0.0,3.2644069835636653,5002.8174974738085,0.0,268.51079709765423,4.863468850999249,1403.0387717015042,255.74735416163563,302.4007926335382,78.08297398481807,35.27836649429824,4674.350822551383,4.09589580896312,0.0,32.02221485854683,15.503400658485646,0.20391176853198453,201.23092271687474,0.0,0.0,2.8371489843484143,34.120039755844374,0.7630317799698915,64.21701941013822,172.96333807333843,0.0,2.555045852830054,65.56092059645836,121.10412568759435,612.8428269823328,0.0,5.915589045879692
2017-08-24,1,3.9743577873760434,0.0,2.6084442684243214,3854.6660198038044,0.0,200.48847631845692,2.8564293867002313,1018.8234798128307,194.2394025492765,225.73117837032984,64.14806000258429,21.808027029829642,3925.9432571252387,1.9020580570561014,0.0,35.82842712681666,16.508192510044257,0.1403660180467567,154.39232736160452,0.0,0.0,4.912638366478959,23.259368713181303,0.0,77.84723014713717,109.74130269444942,0.0,1.235737153191222,75.50267346882701,112.09017931690815,574.7282750367053,0.0,4.87632674498105
2017-08-25,1,0.0,0.0,2.6866206369713286,5227.257623208736,0.0,229.79391646020505,5.312175255958982,1718.022344146433,210.23835743008237,348.7856734656418,71.06924855467916,32.91634031794464,4192.496538836775,6.262828041533533,0.0,34.90004904501039,15.27370376397361,0.19957489893398483,191.79029326368195,0.0,0.0,4.094588581425479,40.78162243855821,0.9167288802119462,73.51923050285157,128.27332850062544,0.0,3.2200132990616215,83.52342208833149,116.34111794711619,639.8589112357597,0.0,3.6419966885781134
